[Foo,-1,-1] => Foo, -2, -1
[Foo,-1,0] => Foo, -2, 0
[Foo,-1,1] => Foo, -2, 0
[Foo,-1,10] => Foo, -2, 8
[Foo,-1,49] => Foo, -2, 47
[Foo,-1,50] => Foo, -2, 48
[Foo,0,-1] => Foo, -1, -1
[Foo,0,0] => Foo, -1, 0
[Foo,0,1] => Foo, -1, 0
[Foo,0,10] => Foo, -1, 8
[Foo,0,49] => Foo, -1, 47
[Foo,0,50] => Foo, -1, 48
[Foo,5,-1] => Foo, 4, -1
[Foo,5,0] => Foo, 4, 0
[Foo,5,1] => Foo, 4, 0
[Foo,5,10] => Foo, 4, 9
[Foo,5,49] => Foo, 4, 48
[Foo,5,50] => Foo, 4, 49
[Foo,6,-1] => Foo, 5, -1
[Foo,6,0] => Foo, 5, 0
[Foo,6,1] => Foo, 5, 0
[Foo,6,10] => Foo, 5, 9
[Foo,6,49] => Foo, 5, 48
[Foo,6,50] => Foo, 5, 49
[Foo,10,-1] => Foo, 9, -1
[Foo,10,0] => Foo, 9, 0
[Foo,10,1] => Foo, 9, 0
[Foo,10,10] => Foo, 9, 9
[Foo,10,49] => Foo, 9, 48
[Foo,10,50] => Foo, 9, 49
[Foo,11,-1] => Foo, 10, -1
[Foo,11,0] => Foo, 10, 0
[Foo,11,1] => Foo, 10, 0
[Foo,11,10] => Foo, 10, 9
[Foo,11,49] => Foo, 10, 48
[Foo,11,50] => Foo, 10, 49
[,-1,-1] => , -2, -1
[,-1,0] => , -2, 0
[,-1,1] => , -2, 0
[,-1,10] => , -2, 8
[,-1,49] => , -2, 47
[,-1,50] => , -2, 48
[,0,-1] => , -1, -1
[,0,0] => , -1, 0
[,0,1] => , -1, 0
[,0,10] => , -1, 8
[,0,49] => , -1, 47
[,0,50] => , -1, 48
[,5,-1] => , 4, -1
[,5,0] => , 4, 0
[,5,1] => , 4, 0
[,5,10] => , 4, 9
[,5,49] => , 4, 48
[,5,50] => , 4, 49
[,6,-1] => , 5, -1
[,6,0] => , 5, 0
[,6,1] => , 5, 0
[,6,10] => , 5, 9
[,6,49] => , 5, 48
[,6,50] => , 5, 49
[,10,-1] => , 9, -1
[,10,0] => , 9, 0
[,10,1] => , 9, 0
[,10,10] => , 9, 9
[,10,49] => , 9, 48
[,10,50] => , 9, 49
[,11,-1] => , 10, -1
[,11,0] => , 10, 0
